Unnamed: 0,Ticker,Quarter,Date,Total_Words,Sum,Mean,Median,Std,%Positive,%Negative,%Neutral,Flesch score,Polysyllable number per sentence
745,ACN,2015Q1,2014-12-18,5675,1007.0,0.17744493392070484,0.0,0.6350574915261386,10.731277533039648,1.198237885462555,88.07048458149781,49.19,4.2
793,ACN,2015Q2,2015-03-26,5800,1078.0,0.18586206896551724,0.0,0.606005566777987,10.948275862068963,0.7068965517241379,88.34482758620692,43.96,4.49
838,ACN,2015Q3,2015-06-25,6079,1194.0,0.19641388386247735,0.0,0.6198803903705197,11.284750781378515,0.5099522947853266,88.20529692383616,45.24,4.39
884,ACN,2015Q4,2015-09-24,6188,1363.0,0.2202650290885585,0.0,0.6582493355169431,12.281835811247575,0.4848093083387201,87.2333548804137,50.06,3.91
931,ACN,2016Q1,2015-12-17,6195,1145.0,0.1848264729620662,0.0,0.5977805371757806,10.669895076674738,0.5649717514124294,88.76513317191284,49.84,3.8
981,ACN,2016Q2,2016-03-24,5680,1060.0,0.1866197183098592,0.0,0.6227170806450674,10.704225352112676,0.7394366197183099,88.55633802816902,54.0,3.76
1025,ACN,2016Q3,2016-06-23,5883,1161.0,0.19734829168791432,0.0,0.6228504188231938,11.303756586775455,0.5779364269930307,88.11830698623152,44.98,4.34
1076,ACN,2016Q4,2016-09-29,6261,1240.0,0.198051429484108,0.0,0.6395405983260737,11.212266411116435,0.7826225842517169,88.00511100463186,46.4,4.57
1119,ACN,2017Q1,2016-12-21,5670,1026.0,0.18095238095238092,0.0,0.6081040950603632,10.828924162257495,0.8641975308641975,88.30687830687832,38.59,5.28
1169,ACN,2017Q2,2017-03-23,6018,1135.0,0.18860086407444332,0.0,0.6290483669613048,11.166500498504488,0.9637753406447324,87.86972416085078,45.51,4.73
1215,ACN,2017Q3,2017-06-22,5810,1200.0,0.20654044750430287,0.0,0.6390289294138125,11.721170395869189,0.6196213425129088,87.6592082616179,50.5,3.83
1266,ACN,2017Q4,2017-09-28,5922,1229.0,0.20753123944613305,0.0,0.6342613573820441,11.904761904761903,0.5234718000675448,87.57176629517056,47.14,3.89
